Year,Price (24K per 10g INR)
2026,150500
2025,105000-130000
2024,77913
2023,65330
2022,52670
2021,48720
2020,48651
2019,35220
2018,31438
2017,29667.5
2016,28623.5
2015,26343.5
2014,28006.5
2013,29600
2012,31050
2011,26400
2010,18500
2009,14500
2008,12500
2007,10800
2005,7000
2004,5850
2003,5600
2002,4990
2001,4300
2000,4400
1999,4234
1998,4045
1997,4725
1996,5160
1995,4680
1994,4598
1993,4140
1992,4334
1991,3466
1990,3200
1989,3140
1988,3130
1987,2570
1986,2140
1985,2130
1984,1970
1983,1800
1982,1645
1981,1670
1980,1330
1979,937
1978,685
1977,486
1976,432
1975,540
1974,506
1973,278.5
1972,202
1971,193
1970,184
1969,176
1968,162
1967,102.5
1966,83.75
1965,71.75
1964,63.25
